 340       9.531e-02       8.333e-02       8.692e-03         -0.2467
 341       1.236e-01       8.333e-02       5.089e-03         -0.0704
 342       1.452e-01       8.333e-02       1.885e-03          0.0874
 343       1.570e-01       8.333e-02       3.104e-04          0.1702
Strip 22
 344       1.570e-01       1.167e-01      -1.095e-04          0.1733
 345       1.452e-01       1.167e-01      -8.358e-04          0.1122
 346       1.236e-01       1.167e-01      -2.410e-03          0.0082
 347       9.531e-02       1.167e-01      -4.126e-03         -0.0848
 348       6.469e-02       1.167e-01      -5.123e-03         -0.1454
 349       3.641e-02       1.167e-01      -5.039e-03         -0.1907
 350       1.476e-02       1.167e-01      -3.771e-03         -0.2290
 351       3.045e-03       1.167e-01      -1.540e-03         -0.2431
 352       3.045e-03       1.167e-01       2.178e-03          0.5289
 353       1.476e-02       1.167e-01       6.815e-03         -0.3040
 354       3.641e-02       1.167e-01       1.007e-02         -0.4211
 355       6.469e-02       1.167e-01       1.074e-02         -0.3795
 356       9.531e-02       1.167e-01       8.692e-03         -0.2460
 357       1.236e-01       1.167e-01       5.089e-03         -0.0700
 358       1.452e-01       1.167e-01       1.885e-03          0.0876
 359       1.570e-01       1.167e-01       3.104e-04          0.1703
Strip 23
 360       1.570e-01       1.500e-01      -1.095e-04          0.1734
 361       1.452e-01       1.500e-01      -8.358e-04          0.1122
 362       1.236e-01       1.500e-01      -2.410e-03          0.0081
 363       9.531e-02       1.500e-01      -4.126e-03         -0.0850
 364       6.469e-02       1.500e-01      -5.123e-03         -0.1457
 365       3.641e-02       1.500e-01      -5.039e-03         -0.1913
 366       1.476e-02       1.500e-01      -3.771e-03         -0.2303
 367       3.045e-03       1.500e-01      -1.540e-03         -0.2476
 368       3.045e-03       1.500e-01       2.178e-03          0.5319
